index,roll,pitch,yaw,accx,accy,accz,gyrox,gyroy,gyroz
108,34.7896,4.41744,-76.4069,-0.476575,5.90357,8.72882,1.38,0.205503,0.104681
109,35.581,4.48818,-76.2758,-0.667895,5.96112,8.35099,1.36508,0.266224,0.107877
110,36.2201,4.57263,-76.1522,-0.741052,6.04556,8.29092,1.38639,0.345053,0.10042
111,37.0382,4.7084,-75.9906,-0.781416,5.4055,7.18082,1.42687,0.378076,0.0620703
112,38.0472,4.9439,-75.7867,-0.989963,6.85146,7.48631,1.44924,0.39299,0.0290471
113,38.9326,5.08379,-75.6722,-0.894125,6.65302,7.99113,1.50889,0.27368,0.0120029
114,39.7924,5.17776,-75.5928,-0.794513,6.7578,8.12483,1.45776,0.196981,-0.00184557
115,40.6208,5.27687,-75.5049,-0.802861,7.04518,8.05463,1.42048,0.257701,-0.00184557
116,41.4243,5.39239,-75.4037,-0.954091,6.97012,7.78585,1.33632,0.270485,0.00135023
117,42.2486,5.50072,-75.2971,-0.988396,6.92462,7.69349,1.27347,0.226809,0.0173292
118,42.9682,5.58596,-75.2002,-1.08956,6.90997,7.67288,1.23193,0.218287,0.0311776
119,43.6732,5.66317,-75.1111,-1.08351,6.84432,7.37866,1.21914,0.191655,0.020525
120,44.3679,5.74116,-75.0202,-1.01477,6.86374,7.38883,1.19997,0.207634,0.0162639
121,45.0429,5.81813,-74.9207,-1.06711,7.1758,7.06922,1.15416,0.194851,0.0290471
122,45.7156,5.88053,-74.8382,-0.989675,7.07246,6.91883,1.16375,0.15011,0.0194597
123,46.3891,5.93149,-74.7756,-1.00607,7.22973,6.80242,1.16908,0.145849,0.00561128
124,46.9943,5.98536,-74.717,-0.92282,7.28107,6.85797,1.16055,0.163958,-0.00930242
125,47.7962,6.06689,-74.6335,-1.00757,7.47866,6.75359,1.14777,0.182068,-0.0135635
126,48.4484,6.14536,-74.5536,-1.08274,7.47855,6.5787,1.10942,0.201242,-0.0135635
127,48.9649,6.21171,-74.4811,-1.1968,7.56527,6.35964,1.08918,0.207634,-0.00291083
128,49.6693,6.30167,-74.3839,-1.10266,7.48358,6.13489,1.10516,0.204438,-0.00717189
129,50.3303,6.36725,-74.3077,-1.10347,7.69137,6.29237,1.1499,0.155436,-0.00291083
130,51.0692,6.4036,-74.2466,-0.952619,7.85107,6.3606,1.15949,0.0702149,0.0215902
131,51.7392,6.39279,-74.2229,-1.16186,8.05919,5.77931,1.13605,0.0137559,0.0503524
132,52.4036,6.36314,-74.2035,-1.04578,7.89556,5.79112,1.13286,-0.00541885,0.0652661
133,53.0718,6.33085,-74.1831,-0.999328,7.79283,5.71544,1.16268,0.00629906,0.0663314
134,53.8224,6.29618,-74.1634,-1.0425,8.01602,5.65062,1.1776,0.0105601,0.0652661
135,54.507,6.2703,-74.1432,-0.833235,7.94422,5.56227,1.18079,0.0233433,0.0482219
136,55.188,6.24625,-74.1137,-0.880201,8.00854,5.69386,1.18825,0.0393222,0.0471566
137,55.8809,6.22483,-74.0864,-0.833342,7.92698,5.08904,1.18932,0.018017,0.0482219
138,56.5729,6.19385,-74.0744,-0.888394,7.9311,5.32359,1.21275,-0.0352463,0.0556787
139,57.1257,6.15631,-74.0782,-0.886124,8.18014,5.23302,1.21595,-0.0448336,0.0524829
140,57.9482,6.09333,-74.0838,-0.962533,8.28854,5.12786,1.17334,-0.05016,0.0887019
141,58.6145,6.02279,-74.0916,-0.965756,8.25872,4.96816,1.16268,-0.0821179,0.104681
142,59.3577,5.93943,-74.1039,-0.975202,8.38127,4.8532,1.18186,-0.0767916,0.108942
143,60.0438,5.86465,-74.1054,-0.779859,8.35555,4.72188,1.20743,-0.0448336,0.113203
144,60.7534,5.79849,-74.0834,-0.960205,8.51341,4.50782,1.21382,0.00629906,0.129182
145,61.3252,5.74922,-74.055,-1.02838,8.52709,4.41814,1.23512,0.002038,0.123856
146,62.1956,5.65945,-74.0232,-1.22833,8.52186,4.2792,1.24471,-0.0554863,0.150487
147,62.9188,5.56115,-74.0359,-1.12786,8.62786,4.19538,1.24791,-0.155621,0.16114
148,63.6317,5.43281,-74.0867,-0.959486,8.57988,3.98809,1.2234,-0.208884,0.172858
149,64.3397,5.28815,-74.1441,-1.13925,8.91081,3.96748,1.21275,-0.198232,0.210142
150,65.1098,5.10697,-74.1945,-1.18192,9.27465,4.05236,1.18186,-0.167339,0.254883
151,65.8047,4.92377,-74.2348,-0.228139,8.89018,3.21282,1.19571,-0.198232,0.286841
152,66.5281,4.73628,-74.2209,-1.27511,8.91647,4.08704,1.26495,-0.0704,0.306016
153,67.2509,4.56222,-74.1886,-0.629058,9.3366,3.63994,1.24897,-0.05016,0.308146
154,67.9961,4.39611,-74.1131,-0.83777,9.38946,3.54687,1.25323,0.0606275,0.333713
155,68.7361,4.22147,-74.0124,-0.813781,9.61454,3.39603,1.25962,0.0627581,0.366736
156,69.4796,4.03733,-73.9067,-0.527708,9.42858,2.83276,1.24897,0.0318654,0.375258
157,70.225,3.84162,-73.8172,-0.635061,9.12783,3.37558,1.27773,0.0339959,0.366736
158,70.8805,3.66677,-73.748,-0.417352,9.16159,3.18281,1.2756,0.0105601,0.350757
159,71.7538,3.4315,-73.6825,-0.224013,8.96256,3.2242,1.28519,-0.0490947,0.325191
160,72.4811,3.22375,-73.6713,-0.185913,8.51134,3.21302,1.3001,-0.102358,0.332647
161,73.1474,3.03809,-73.6819,-0.387904,9.71032,3.19933,1.31608,-0.101293,0.335843
162,73.9691,2.81738,-73.6667,-1.43892,8.19154,2.04251,1.30117,-0.0810526,0.340104
163,74.5281,2.64707,-73.6763,-0.102541,10.1135,3.05929,1.2234,-0.153491,0.330517
164,75.3617,2.39078,-73.6476,-0.694715,8.88479,2.44096,1.2234,0.00629906,0.367801
165,76.0453,2.20006,-73.5948,-0.442115,9.52455,2.37202,1.16055,-0.0107452,0.350757
166,76.7024,2.00988,-73.5501,-0.306844,9.82568,2.54847,1.1531,-0.013941,0.340104
167,77.4104,1.79418,-73.51,-0.246081,9.84692,2.28867,1.10729,-0.00754938,0.345431
168,77.9111,1.63748,-73.4778,-0.075521,9.76448,2.38199,1.09983,0.0137559,0.32306
169,78.6348,1.42391,-73.4176,-0.123925,9.66348,2.55583,1.06255,0.0244085,0.291102
170,79.1508,1.28374,-73.385,-0.115971,9.65532,2.35084,1.01568,-0.0160715,0.24423
171,79.5886,1.17793,-73.3659,-0.181851,9.66246,2.12332,0.952827,-0.0160715,0.200555
172,80.1351,1.06788,-73.3347,-0.542249,9.35085,2.23599,0.855888,0.000972733,0.155814
173,80.6571,0.946439,-73.3279,-0.00920123,9.94003,2.39338,0.70249,-0.0107452,0.14303
174,81.0018,0.873352,-73.3065,-0.346802,9.53517,2.49599,0.618334,-0.0320505,0.104681
175,81.2723,0.819302,-73.3048,-0.301629,10.2449,2.50267,0.47985,-0.0192673,0.0823103
176,81.4053,0.790683,-73.2933,-0.184309,10.1961,2.42108,0.415934,-0.0107452,0.0748535
177,81.6452,0.728482,-73.2804,-0.128279,9.98265,1.98372,0.287037,-0.018202,0.0673966
178,81.7594,0.69094,-73.2812,-0.137616,9.91254,1.92349,0.195424,-0.0235283,0.0428955
179,81.8179,0.667666,-73.2771,-0.054119,9.85035,2.1558,0.0931586,-0.00435359,0.0151987
