index,roll,pitch,yaw,accx,accy,accz,gyrox,gyroy,gyroz
106,-9.148,12.3556,-158.433,-2.16355,-1.57835,9.77289,0.00580695,0.00949485,0.00135023
107,-9.14888,12.3575,-158.432,-2.11128,-1.59816,9.7594,-0.0016499,-0.00435359,0.000284962
108,-9.1486,12.3574,-158.432,-2.09661,-1.57499,9.74671,-0.00271517,0.00523379,0.00987234
109,-9.14742,12.3574,-158.431,-2.17242,-1.54732,9.79137,0.00261115,-0.0107452,0.000284962
110,-9.14738,12.3578,-158.432,-2.23745,-1.53982,9.81217,0.00367642,0.002038,0.00667655
111,-9.14674,12.3584,-158.433,-2.13309,-1.59406,9.80321,0.00261115,0.00736432,-0.00291083
112,-9.14542,12.3583,-158.431,-2.1783,-1.59266,9.82191,0.00367642,0.00842958,0.00348076
113,-9.14453,12.3576,-158.431,-2.17664,-1.63419,9.77625,-0.00271517,-0.0011578,0.00135023
114,-9.14459,12.357,-158.431,-2.15268,-1.58762,9.74368,0.000480625,0.00523379,0.00348076
115,-9.14564,12.3565,-158.431,-2.14756,-1.63308,9.73058,-0.00591096,-0.00435359,0.00135023
116,-9.14622,12.3553,-158.43,-2.1201,-1.57603,9.74881,0.000480625,0.002038,0.00454602
117,-9.14876,12.3542,-158.43,-2.11855,-1.5944,9.77765,0.00261115,-0.00435359,-0.000780302
118,-9.14879,12.3547,-158.43,-2.234,-1.58503,9.76465,-0.0016499,0.00949485,0.00241549
119,-9.14844,12.3537,-158.429,-2.17259,-1.5942,9.74207,0.000480625,0.00310326,-0.000780302
120,-9.14887,12.3522,-158.43,-2.16584,-1.6346,9.78518,-0.0016499,-0.00541885,-0.000780302
121,-9.15118,12.3516,-158.431,-2.16322,-1.55993,9.72227,-0.0048457,0.00523379,0.00135023
122,-9.15154,12.351,-158.431,-2.14906,-1.57517,9.7673,-0.0016499,-0.00328832,0.00348076
123,-9.15123,12.3511,-158.431,-2.20131,-1.58044,9.7244,0.00154589,0.00416853,0.00561128
124,-9.15197,12.353,-158.431,-2.22663,-1.56531,9.76471,-0.00058464,-0.00328832,-0.00717189
125,-9.15268,12.3534,-158.431,-2.14397,-1.60812,9.78692,-0.0016499,-0.00754938,-0.00184557
126,-9.15285,12.3535,-158.431,-2.10737,-1.56017,9.75602,0.00261115,-0.0011578,-0.0039761
127,-9.15192,12.352,-158.43,-2.13643,-1.58995,9.73984,0.00261115,0.00416853,0.000284962
128,-9.15165,12.3551,-158.43,-2.1584,-1.62017,9.75801,0.00261115,0.00416853,-0.000780302
